artifact_id,artifact_path,artifact_type,artifact_family,status,source_sections,source_modules,source_decision_types,row_filter_logic,generation_rule,target_consumer,dependencies,priority,review_required,notes
CORE_SCHEMA_JSON,/spec/core/schema.json,json,core,PENDING,05 Data Schema,collections; fields,schema; schema_field,section == '05 Data Schema',"Group rows by entity/collection; generate full consolidated schema with fields, types, rules, security levels and relationships.",Codex/Claude Code,CORE_DICTIONARY_JSON,MVP,Yes,Consolidated schema; module schemas will be split from this.
CORE_STATUS_CODES_JSON,/spec/core/status_codes.json,json,core,PENDING,09 Status and Response Codes,all status groups,status_code,section == '09 Status and Response Codes',Group by module/status group and generate controlled lifecycle and API response code lists.,Codex/Claude Code,CORE_SCHEMA_JSON,MVP,Yes,Used by workflow state machines and UI badges.
SECURITY_ACCESS_MATRIX_JSON,/spec/security/access_matrix.json,json,security,PENDING,03 Roles and Permissions; 15 Security Hardening,roles; permission_rules; field_level_permissions; school_isolation; least_privilege,permission; security_rule; security_control,"section in ['03 Roles and Permissions','15 Security Hardening'] AND decision_type in ['permission','security_rule','security_control']",Generate role-by-entity access matrix with read/create/update/delete/export/field restrictions and scope rules.,Codex/Claude Code,CORE_ACTORS_JSON; CORE_ROLES_JSON,MVP,Yes,Central security artifact.
SECURITY_AUDIT_RULES_JSON,/spec/security/audit_rules.json,json,security,PENDING,15 Security Hardening; 17 Audit Reconciliation and Reversal,audit_required; all audit modules,security_control; audit_reconciliation_rule,"section in ['15 Security Hardening','17 Audit Reconciliation and Reversal']","Generate audit rules, audit event fields, critical action list and download/export logging rules.",Codex/Claude Code,CORE_SCHEMA_JSON,MVP,Yes,Shared audit rules across modules.
SECURITY_DATA_CLASSIFICATION_JSON,/spec/security/data_classification.json,json,security,PENDING,04 Domain Dictionary; 05 Data Schema; 15 Security Hardening; 16 Privacy and Children's Data,domain_dictionary; fields; children_data_classification; payment_data_classification; parent_contact_data_classification,dictionary; schema_field; security_control; privacy_rule,"security_level in ['public','internal','sensitive','restricted']",Generate data classes and map each field/entity/document to public/internal/sensitive/restricted handling.,Codex/Claude Code,CORE_SCHEMA_JSON; CORE_DICTIONARY_JSON,MVP,Yes,Needed for permission generation.
SECURITY_PRIVACY_JSON,/spec/security/privacy.json,json,security,PENDING,16 Privacy and Children's Data,all privacy modules,privacy_rule,"section == ""16 Privacy and Children's Data""","Generate privacy policy rules for data minimisation, children's data, consent, public certificate fields, exports, retention and staging data.",Codex/Claude Code,CORE_SCHEMA_JSON; SECURITY_DATA_CLASSIFICATION_JSON,MVP,Yes,MVP privacy constraints.
SECURITY_SECRETS_POLICY_JSON,/spec/security/secrets_policy.json,json,security,PENDING,12 Integrations; 15 Security Hardening; 20 Deployment and Operations Runbook,secrets_policy; env_*; directus_*; razorpay_*; email_*,security_control; Environment variable; integration_security,"module contains secrets/env/integration rows OR decision_type in ['Environment variable','integration_security']","Generate server-side secrets policy, env var list, no-browser-secrets rules and deployment handling.",Codex/Claude Code,CORE_INTEGRATIONS_JSON,MVP,Yes,Required before frontend/API generation.
SECURITY_BASELINE_JSON,/spec/security/security_baseline.json,json,security,PENDING,00 Project Manifest; 15 Security Hardening,security_baseline; all security controls,security; security_control,"section in ['00 Project Manifest','15 Security Hardening']","Generate deny-by-default, auth, authorisation, file, API, audit, rate limiting and safe error baseline.",Codex/Claude Code,CORE_PROJECT_JSON,MVP,Yes,Mandatory production safety artifact.
SECURITY_THREAT_MODEL_MD,/spec/security/threat_model.md,md,security,PENDING,15 Security Hardening; 16 Privacy and Children's Data; 17 Audit Reconciliation and Reversal,all security/privacy/audit modules,security_control; privacy_rule; audit_reconciliation_rule,"section in ['15 Security Hardening',""16 Privacy and Children's Data"",'17 Audit Reconciliation and Reversal']","Write a threat model summarising key risks: cross-school access, file leakage, payment webhook tampering, public verification abuse, result/certificate tampering and secret leakage.",Codex/Claude Code,SECURITY_BASELINE_JSON,MVP,Yes,Human-readable security context for reviewers.
CHANGES_CHANGE_CONTROL_JSON,/spec/changes/change_control.json,json,changes,PENDING,00 Project Manifest; 15 Security Hardening; 19 Build Instructions and Runbook,modularity; change_review_gate; runbook guardrails,governance; security_control; runbook_guardrail,"section in ['00 Project Manifest','15 Security Hardening','19 Build Instructions and Runbook'] AND answer/build_instruction references change, overwrite, approval, version, migration or rollback","Generate change-control rules, approval gates, schema migration requirements, regression requirements and version policy.",Codex/Claude Code,CORE_PROJECT_JSON,MVP,Yes,Future continuity artifact.
CHANGES_RELEASE_NOTES_MD,/spec/changes/release_notes.md,md,changes,PENDING,19 Build Instructions and Runbook; 20 Deployment and Operations Runbook,generate_release_notes; final_readiness_report; go_live checks,runbook_step; go_live_check,"module in ['generate_release_notes','final_readiness_report'] OR decision_type == 'go_live_check'","Create initial release notes template with sections for generated artifacts, tests, open assumptions, manual approvals and go-live status.",Codex/Claude Code,CHANGES_CHANGE_CONTROL_JSON,MVP,Yes,Template only at map stage.
MODULE_AUDIT_DOCUMENTS_JSON,/spec/modules/audit/documents.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 13 rows filtered by entity/workflow/module,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue",Module files/documents and lifecycle rules.,Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_FEATURES_JSON,/spec/modules/audit/features.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 06 rows filtered by module/workflow/entity,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module feature definitions with inputs, outputs, gates and security rules.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_MESSAGES_JSON,/spec/modules/audit/messages.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 08 rows filtered by workflow/entity,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module API/message definitions with request, response, codes, idempotency and audit.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_MODULE_JSON,/spec/modules/audit/module.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,module metadata rows + relevant features/workflows,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module metadata, owner, dependencies, provided capabilities and version policy.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_NOTIFICATIONS_JSON,/spec/modules/audit/notifications.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 14 rows filtered by workflow/module,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module notifications, recipients, channels and templates.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_SCHEMA_JSON,/spec/modules/audit/schema.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 05 rows filtered by entity/module,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module-specific collections, fields and relationships.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_SCREENS_JSON,/spec/modules/audit/screens.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 11 rows filtered by module/workflow/entity,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module UI routes, access scope and UX requirements.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_SECURITY_JSON,/spec/modules/audit/security.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,sections 15-17 rows filtered by entity/workflow/module,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue",Module-specific security/privacy/audit controls.,Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_TESTS_JSON,/spec/modules/audit/tests.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 18 rows filtered by workflow/entity/module,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue",Module tests and acceptance/security/regression checks.,Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_VALIDATIONS_JSON,/spec/modules/audit/validations.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 10 rows filtered by workflow/entity,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue",Module validation rules and server-side gates.,Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_AUDIT_WORKFLOWS_JSON,/spec/modules/audit/workflows.json,json,module:audit,PENDING,05 Data Schema; 15 Security; 17 Audit Reconciliation and Reversal; 18 Tests,audit,section 07 and section 09 rows filtered by workflow/entity,"entity/module/workflow mentions audit_events, audit, reconciliation, reversal, exception_queue","Module workflow statuses, transitions, gates, reversals and controls.",Codex/Claude Code,SECURITY_AUDIT_RULES_JSON; CORE_SCHEMA_JSON,MVP,Yes,Generated as part of audit module pack.
MODULE_CERTIFICATES_DOCUMENTS_JSON,/spec/modules/certificates/documents.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 13 rows filtered by entity/workflow/module,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates",Module files/documents and lifecycle rules.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_FEATURES_JSON,/spec/modules/certificates/features.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 06 rows filtered by module/workflow/entity,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module feature definitions with inputs, outputs, gates and security rules.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_MESSAGES_JSON,/spec/modules/certificates/messages.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 08 rows filtered by workflow/entity,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module API/message definitions with request, response, codes, idempotency and audit.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_MODULE_JSON,/spec/modules/certificates/module.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,module metadata rows + relevant features/workflows,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module metadata, owner, dependencies, provided capabilities and version policy.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_NOTIFICATIONS_JSON,/spec/modules/certificates/notifications.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 14 rows filtered by workflow/module,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module notifications, recipients, channels and templates.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_SCHEMA_JSON,/spec/modules/certificates/schema.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 05 rows filtered by entity/module,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module-specific collections, fields and relationships.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_SCREENS_JSON,/spec/modules/certificates/screens.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 11 rows filtered by module/workflow/entity,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module UI routes, access scope and UX requirements.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_SECURITY_JSON,/spec/modules/certificates/security.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,sections 15-17 rows filtered by entity/workflow/module,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates",Module-specific security/privacy/audit controls.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_TESTS_JSON,/spec/modules/certificates/tests.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 18 rows filtered by workflow/entity/module,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates",Module tests and acceptance/security/regression checks.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_VALIDATIONS_JSON,/spec/modules/certificates/validations.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 10 rows filtered by workflow/entity,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates",Module validation rules and server-side gates.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_CERTIFICATES_WORKFLOWS_JSON,/spec/modules/certificates/workflows.json,json,module:certificates,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 09 Status; 10 Validation; 11 Screens; 12 Integrations; 13 Files; 14 Notifications; 16 Privacy; 17 Audit; 18 Tests,certificates,section 07 and section 09 rows filtered by workflow/entity,"entity/module/workflow mentions certificates, certificate_generation, certificate_download, certificate_verification, PDF, public verification or staff_certificates","Module workflow statuses, transitions, gates, reversals and controls.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_RESULTS_WORKFLOWS; SECURITY_PRIVACY_JSON,MVP,Yes,Generated as part of certificates module pack.
MODULE_COURIER_DOCUMENTS_JSON,/spec/modules/courier/documents.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 13 rows filtered by entity/workflow/module,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier",Module files/documents and lifecycle rules.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_FEATURES_JSON,/spec/modules/courier/features.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 06 rows filtered by module/workflow/entity,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module feature definitions with inputs, outputs, gates and security rules.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_MESSAGES_JSON,/spec/modules/courier/messages.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 08 rows filtered by workflow/entity,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module API/message definitions with request, response, codes, idempotency and audit.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_MODULE_JSON,/spec/modules/courier/module.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,module metadata rows + relevant features/workflows,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module metadata, owner, dependencies, provided capabilities and version policy.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_NOTIFICATIONS_JSON,/spec/modules/courier/notifications.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 14 rows filtered by workflow/module,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module notifications, recipients, channels and templates.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_SCHEMA_JSON,/spec/modules/courier/schema.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 05 rows filtered by entity/module,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module-specific collections, fields and relationships.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_SCREENS_JSON,/spec/modules/courier/screens.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 11 rows filtered by module/workflow/entity,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module UI routes, access scope and UX requirements.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_SECURITY_JSON,/spec/modules/courier/security.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,sections 15-17 rows filtered by entity/workflow/module,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier",Module-specific security/privacy/audit controls.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_TESTS_JSON,/spec/modules/courier/tests.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 18 rows filtered by workflow/entity/module,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier",Module tests and acceptance/security/regression checks.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_VALIDATIONS_JSON,/spec/modules/courier/validations.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 10 rows filtered by workflow/entity,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier",Module validation rules and server-side gates.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_COURIER_WORKFLOWS_JSON,/spec/modules/courier/workflows.json,json,module:courier,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 17 Audit; 18 Tests,courier,section 07 and section 09 rows filtered by workflow/entity,"entity/module/workflow mentions courier_batches, courier_workflow, courier_submission, answer_sheet_receipt, courier_page or staff_courier","Module workflow statuses, transitions, gates, reversals and controls.",Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_EXAM_MATERIALS_WORKFLOWS,MVP,Yes,Generated as part of courier module pack.
MODULE_EXAM_MATERIALS_DOCUMENTS_JSON,/spec/modules/exam_materials/documents.json,json,module:exam_materials,PENDING,05 Data Schema; 06 Features; 07 Workflows; 08 Messages and API Actions; 10 Validation; 11 Screens; 13 Files; 14 Notifications; 15 Security; 18 Tests,exam_materials,section 13 rows filtered by entity/workflow/module,"entity/module/workflow mentions exam_materials, exam_material_release, exam_materials_page, material download, question_paper, omr_sheet, attendance_sheet or file_access",Module files/documents and lifecycle rules.,Codex/Claude Code,CORE_SCHEMA_JSON; MODULE_PAYMENTS_WORKFLOWS; SECURITY_BASELINE_JSON,MVP,Yes,Generated as part of exam_materials module pack.
