section,module,question_id,question,answer,decision_type,priority,actor,entity,workflow,status,security_level,build_instruction,test_instruction,review_required
00 Project Manifest,modularity,00.017,Should generated JSON/MD files be versioned?,"Yes, every module has module_id, version, status, owner, dependencies, provides, timestamps, and change policy.",governance,MVP,,spec,,,internal,Add metadata block to each generated module file.,Validate module metadata fields exist.,Yes
00 Project Manifest,modularity,00.018,Can the builder overwrite the full app blindly?,"No. It must read existing specs, generate impact analysis, apply approved changes only, and preserve backward-compatible modules.",governance,MVP,,runbook,,,internal,Implement runbook with incremental tasks and approvals for destructive changes.,Test runbook refuses destructive overwrite without approval.,Yes
00 Project Manifest,modularity,00.019,What versioning policy applies?,"Semantic versioning: major for breaking schema/workflow/API changes, minor for new compatible features, patch for bug fixes.",governance,MVP,,spec,,,internal,Store version policy in project manifest and release notes template.,Check generated changelog follows semver rules.,Yes
00 Project Manifest,modularity,00.020,How should future features be added?,"As new module folders with module.json, schema.json, workflows.json, permissions.json, security.json, and tests.json.",governance,MVP,,spec,,,internal,Require feature_request.json before new module generation.,Test new module has required files.,Yes
00 Project Manifest,modularity,00.021,How should bug fixes be recorded?,"Every bug fix requires bug_id, affected module, severity, expected behavior, actual behavior, root cause, fix list, security impact, status, and regression tests.",governance,MVP,,changes,,,internal,Create bug_fixes.json structure and regression test requirement.,Verify bug fix template generated.,Yes
00 Project Manifest,security_baseline,00.022,What is the default security policy?,Deny by default; public access disabled except explicit certificate verification route.,security,MVP,,security,,,restricted,Set Directus public role to no access except approved public verification fields later.,Permission test public role cannot read private collections.,Yes
00 Project Manifest,security_baseline,00.023,Are API secrets allowed in browser code?,No. All vendor secrets and Directus admin tokens must remain server-side only.,security,MVP,,secrets,,,restricted,Use Next.js server routes/actions as API proxy; never expose service token to client bundle.,Scan code for secret variable usage in client components.,Yes
00 Project Manifest,security_baseline,00.024,What audit principle applies?,"Log login, failed login, role changes, permission changes, payment changes, result changes, certificate generation, and file downloads.",security,MVP,,audit_events,,,restricted,Create audit_events collection and call audit helper for critical actions.,Verify audit rows for critical workflow tests.,Yes
00 Project Manifest,project_identity,00.025,What build approach should Codex follow?,"Read CSV, generate JSON specs, create Directus schema via MCP, scaffold portal, test module by module, stop on unresolved failures.",build_runbook,MVP,,runbook,,,internal,Generate codex_runbook.md from these rows before coding.,Check runbook exists and contains stop conditions.,Yes
00 Project Manifest,project_identity,00.026,What is the first build milestone?,"Directus schema, roles, school-level permissions, and basic school portal login/dashboard.",milestone,MVP,,,milestone_1,,internal,Prioritise schema/security before screens beyond login/dashboard.,Run login and school isolation tests.,Yes
00 Project Manifest,project_identity,00.027,What is the second build milestone?,"Student upload, validation, final count, fee calculation, and exam-slot selection without payment integration.",milestone,MVP,,,milestone_2,,internal,Build school journey with mocked payment status after schema is stable.,Run CSV validation and exam slot capacity tests.,Yes
00 Project Manifest,project_identity,00.028,What is the third build milestone?,"Razorpay payment link, webhook handler, material gating, and audit logs.",milestone,MVP,,,milestone_3,,internal,Add payment integration only after internal workflow is testable.,Run webhook verification and gate tests.,Yes
00 Project Manifest,project_identity,00.029,What data should not be collected in MVP?,"Student date of birth, unnecessary parent contact data, Aadhaar/government IDs, bank card data, medical data unless legally required.",privacy,MVP,,students,,,sensitive,Do not add fields for prohibited/unnecessary data.,Schema test confirms fields absent.,Yes
00 Project Manifest,project_identity,00.030,What should remain manual in MVP?,"OMR scanning, OMR exception review, result approval, and certificate final approval remain staff-controlled.",scope,MVP,,,operations,,internal,"Create upload/import workflows, not automated OMR engine integration in MVP.",Verify no auto-publish after import.,Yes
01 Business Context,business_context,01.001,Why does the platform exist?,"To let schools participate in affordable, organised Olympiad exams with minimal operational friction.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.002,What business problem is solved?,"Manual school onboarding, student collection, payment tracking, exam scheduling, results, and certificates are fragmented and error-prone.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.003,Who has the problem?,"Finverse operations team, participating schools, school coordinators, students, and parents indirectly.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.004,What happens without the app?,"School data is scattered across email, spreadsheets, payments, folders, and manual follow-ups.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.005,What is the launch goal?,Run the first school season with a functional school portal and controlled staff operations.,business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.006,What is the business model?,"Schools collect parent fees, retain commission, and pay Finverse the net amount.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.007,What is the primary customer?,Participating school as institutional customer.,business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.008,What is the end user?,"School coordinator for portal operations; students are exam participants, not portal users in MVP.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.009,What is the school value proposition?,"Easy registration, structured exam materials, reliable results, printable certificates, and low technology burden.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.010,What is the Finverse operational value?,"Centralised status tracking, reduced manual errors, controlled payments, and auditable results publication.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.011,What is the MVP revenue trigger?,Confirmed student count and school payment of net amount due.,business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.012,What must the system prevent?,"Data leakage across schools, exam material release before payment, result publication without approval, and unauthorised certificate downloads.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.013,What is the key operational risk?,"Incorrect student data, payment mismatch, wrong exam material release, OMR import errors, and ranking mistakes.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.014,What is the first success metric?,"At least one school completes registration, payment, exam slot, result, and certificates end-to-end.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.015,What is a failure metric?,"Any school can access another school’s students, files, payment, result, or certificates.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.016,What should be automated first?,"Status progression, validation, payment gating, file access control, and notifications.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.017,What should not be automated first?,"Final result approval, OMR exception decisions, certificate approval, legal/privacy decisions.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.018,What is non-negotiable?,"School-level isolation, private files, server-side secrets, audit trail, and no public access to student records.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.019,What is the minimum lovable UX?,"A clear dashboard showing registration, students, payment, exam date, materials, courier, results, and certificates.",business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
01 Business Context,business_context,01.020,What is the first governance rule?,No code generation proceeds without a versioned spec and tests for the module being built.,business_rule,MVP,,project,business_context,,internal,Use this business context to constrain features and copywriting.,Review row for business correctness.,Yes
02 Actors,actors,02.001,What is actor system_admin display name?,System Admin,actor_definition,MVP,system_admin,actor,,,internal,Implement actor rule for system_admin: name.,Verify actor rule for system_admin: name.,Yes
02 Actors,actors,02.002,What type is actor system_admin?,human_internal,actor_definition,MVP,system_admin,actor,,,internal,Implement actor rule for system_admin: type.,Verify actor rule for system_admin: type.,Yes
02 Actors,actors,02.003,Does actor system_admin log in?,yes,auth_requirement,MVP,system_admin,user,,,restricted,Implement actor rule for system_admin: login.,Verify actor rule for system_admin: login.,Yes
02 Actors,actors,02.004,What dashboard does actor system_admin need?,yes,ux_requirement,MVP,system_admin,screen,,,internal,Implement actor rule for system_admin: dashboard.,Verify actor rule for system_admin: dashboard.,Yes
02 Actors,actors,02.005,What data scope applies to actor system_admin?,global,permission_scope,MVP,system_admin,permission,,,restricted,Implement actor rule for system_admin: scope.,Verify actor rule for system_admin: scope.,Yes
02 Actors,actors,02.006,What records can actor system_admin create?,"users, roles, permissions, settings",permission_scope,MVP,system_admin,permission,,,restricted,Implement actor rule for system_admin: creates.,Verify actor rule for system_admin: creates.,Yes
02 Actors,actors,02.007,What must actor system_admin never do?,should not bypass audit or use personal token for automation,negative_requirement,MVP,system_admin,permission,,,restricted,Implement actor rule for system_admin: never.,Verify actor rule for system_admin: never.,Yes
02 Actors,actors,02.008,What is actor finverse_admin display name?,Finverse Admin,actor_definition,MVP,finverse_admin,actor,,,internal,Implement actor rule for finverse_admin: name.,Verify actor rule for finverse_admin: name.,Yes
02 Actors,actors,02.009,What type is actor finverse_admin?,human_internal,actor_definition,MVP,finverse_admin,actor,,,internal,Implement actor rule for finverse_admin: type.,Verify actor rule for finverse_admin: type.,Yes
02 Actors,actors,02.010,Does actor finverse_admin log in?,yes,auth_requirement,MVP,finverse_admin,user,,,restricted,Implement actor rule for finverse_admin: login.,Verify actor rule for finverse_admin: login.,Yes
02 Actors,actors,02.011,What dashboard does actor finverse_admin need?,yes,ux_requirement,MVP,finverse_admin,screen,,,internal,Implement actor rule for finverse_admin: dashboard.,Verify actor rule for finverse_admin: dashboard.,Yes
02 Actors,actors,02.012,What data scope applies to actor finverse_admin?,global,permission_scope,MVP,finverse_admin,permission,,,restricted,Implement actor rule for finverse_admin: scope.,Verify actor rule for finverse_admin: scope.,Yes
02 Actors,actors,02.013,What records can actor finverse_admin create?,"olympiads, exam slots, templates, approvals",permission_scope,MVP,finverse_admin,permission,,,restricted,Implement actor rule for finverse_admin: creates.,Verify actor rule for finverse_admin: creates.,Yes
02 Actors,actors,02.014,What must actor finverse_admin never do?,should not directly edit payment provider callbacks,negative_requirement,MVP,finverse_admin,permission,,,restricted,Implement actor rule for finverse_admin: never.,Verify actor rule for finverse_admin: never.,Yes
02 Actors,actors,02.015,What is actor sales_staff display name?,Sales Staff,actor_definition,MVP,sales_staff,actor,,,internal,Implement actor rule for sales_staff: name.,Verify actor rule for sales_staff: name.,Yes
02 Actors,actors,02.016,What type is actor sales_staff?,human_internal,actor_definition,MVP,sales_staff,actor,,,internal,Implement actor rule for sales_staff: type.,Verify actor rule for sales_staff: type.,Yes
02 Actors,actors,02.017,Does actor sales_staff log in?,yes,auth_requirement,MVP,sales_staff,user,,,restricted,Implement actor rule for sales_staff: login.,Verify actor rule for sales_staff: login.,Yes
02 Actors,actors,02.018,What dashboard does actor sales_staff need?,yes,ux_requirement,MVP,sales_staff,screen,,,internal,Implement actor rule for sales_staff: dashboard.,Verify actor rule for sales_staff: dashboard.,Yes
02 Actors,actors,02.019,What data scope applies to actor sales_staff?,assigned leads/schools,permission_scope,MVP,sales_staff,permission,,,restricted,Implement actor rule for sales_staff: scope.,Verify actor rule for sales_staff: scope.,Yes
02 Actors,actors,02.020,What records can actor sales_staff create?,school prospects and follow-ups,permission_scope,MVP,sales_staff,permission,,,restricted,Implement actor rule for sales_staff: creates.,Verify actor rule for sales_staff: creates.,Yes
02 Actors,actors,02.021,What must actor sales_staff never do?,must not view student marks or parent contact data unless required,negative_requirement,MVP,sales_staff,permission,,,restricted,Implement actor rule for sales_staff: never.,Verify actor rule for sales_staff: never.,Yes
02 Actors,actors,02.022,What is actor finance_staff display name?,Finance Staff,actor_definition,MVP,finance_staff,actor,,,internal,Implement actor rule for finance_staff: name.,Verify actor rule for finance_staff: name.,Yes
02 Actors,actors,02.023,What type is actor finance_staff?,human_internal,actor_definition,MVP,finance_staff,actor,,,internal,Implement actor rule for finance_staff: type.,Verify actor rule for finance_staff: type.,Yes
02 Actors,actors,02.024,Does actor finance_staff log in?,yes,auth_requirement,MVP,finance_staff,user,,,restricted,Implement actor rule for finance_staff: login.,Verify actor rule for finance_staff: login.,Yes
02 Actors,actors,02.025,What dashboard does actor finance_staff need?,yes,ux_requirement,MVP,finance_staff,screen,,,internal,Implement actor rule for finance_staff: dashboard.,Verify actor rule for finance_staff: dashboard.,Yes
02 Actors,actors,02.026,What data scope applies to actor finance_staff?,payments and reconciliations,permission_scope,MVP,finance_staff,permission,,,restricted,Implement actor rule for finance_staff: scope.,Verify actor rule for finance_staff: scope.,Yes
02 Actors,actors,02.027,What records can actor finance_staff create?,manual payment confirmations and reconciliation notes,permission_scope,MVP,finance_staff,permission,,,restricted,Implement actor rule for finance_staff: creates.,Verify actor rule for finance_staff: creates.,Yes
02 Actors,actors,02.028,What must actor finance_staff never do?,must not edit marks or rankings,negative_requirement,MVP,finance_staff,permission,,,restricted,Implement actor rule for finance_staff: never.,Verify actor rule for finance_staff: never.,Yes
02 Actors,actors,02.029,What is actor operations_staff display name?,Operations Staff,actor_definition,MVP,operations_staff,actor,,,internal,Implement actor rule for operations_staff: name.,Verify actor rule for operations_staff: name.,Yes
02 Actors,actors,02.030,What type is actor operations_staff?,human_internal,actor_definition,MVP,operations_staff,actor,,,internal,Implement actor rule for operations_staff: type.,Verify actor rule for operations_staff: type.,Yes
02 Actors,actors,02.031,Does actor operations_staff log in?,yes,auth_requirement,MVP,operations_staff,user,,,restricted,Implement actor rule for operations_staff: login.,Verify actor rule for operations_staff: login.,Yes
02 Actors,actors,02.032,What dashboard does actor operations_staff need?,yes,ux_requirement,MVP,operations_staff,screen,,,internal,Implement actor rule for operations_staff: dashboard.,Verify actor rule for operations_staff: dashboard.,Yes
02 Actors,actors,02.033,What data scope applies to actor operations_staff?,exam logistics,permission_scope,MVP,operations_staff,permission,,,restricted,Implement actor rule for operations_staff: scope.,Verify actor rule for operations_staff: scope.,Yes
02 Actors,actors,02.034,What records can actor operations_staff create?,"material releases, courier receipts, operational exceptions",permission_scope,MVP,operations_staff,permission,,,restricted,Implement actor rule for operations_staff: creates.,Verify actor rule for operations_staff: creates.,Yes
02 Actors,actors,02.035,What must actor operations_staff never do?,must not reverse payment statuses,negative_requirement,MVP,operations_staff,permission,,,restricted,Implement actor rule for operations_staff: never.,Verify actor rule for operations_staff: never.,Yes
02 Actors,actors,02.036,What is actor evaluator display name?,Evaluator,actor_definition,MVP,evaluator,actor,,,internal,Implement actor rule for evaluator: name.,Verify actor rule for evaluator: name.,Yes
02 Actors,actors,02.037,What type is actor evaluator?,human_internal,actor_definition,MVP,evaluator,actor,,,internal,Implement actor rule for evaluator: type.,Verify actor rule for evaluator: type.,Yes
02 Actors,actors,02.038,Does actor evaluator log in?,yes,auth_requirement,MVP,evaluator,user,,,restricted,Implement actor rule for evaluator: login.,Verify actor rule for evaluator: login.,Yes
02 Actors,actors,02.039,What dashboard does actor evaluator need?,yes,ux_requirement,MVP,evaluator,screen,,,internal,Implement actor rule for evaluator: dashboard.,Verify actor rule for evaluator: dashboard.,Yes
02 Actors,actors,02.040,What data scope applies to actor evaluator?,assigned OMR batches/results import,permission_scope,MVP,evaluator,permission,,,restricted,Implement actor rule for evaluator: scope.,Verify actor rule for evaluator: scope.,Yes
02 Actors,actors,02.041,What records can actor evaluator create?,evaluation notes and reviewed scores,permission_scope,MVP,evaluator,permission,,,restricted,Implement actor rule for evaluator: creates.,Verify actor rule for evaluator: creates.,Yes
02 Actors,actors,02.042,What must actor evaluator never do?,must not see payment data or unnecessary parent contact data,negative_requirement,MVP,evaluator,permission,,,restricted,Implement actor rule for evaluator: never.,Verify actor rule for evaluator: never.,Yes
02 Actors,actors,02.043,What is actor results_approver display name?,Results Approver,actor_definition,MVP,results_approver,actor,,,internal,Implement actor rule for results_approver: name.,Verify actor rule for results_approver: name.,Yes
02 Actors,actors,02.044,What type is actor results_approver?,human_internal,actor_definition,MVP,results_approver,actor,,,internal,Implement actor rule for results_approver: type.,Verify actor rule for results_approver: type.,Yes
02 Actors,actors,02.045,Does actor results_approver log in?,yes,auth_requirement,MVP,results_approver,user,,,restricted,Implement actor rule for results_approver: login.,Verify actor rule for results_approver: login.,Yes
02 Actors,actors,02.046,What dashboard does actor results_approver need?,yes,ux_requirement,MVP,results_approver,screen,,,internal,Implement actor rule for results_approver: dashboard.,Verify actor rule for results_approver: dashboard.,Yes
02 Actors,actors,02.047,What data scope applies to actor results_approver?,results and certificates,permission_scope,MVP,results_approver,permission,,,restricted,Implement actor rule for results_approver: scope.,Verify actor rule for results_approver: scope.,Yes
02 Actors,actors,02.048,What records can actor results_approver create?,approval decisions and publication actions,permission_scope,MVP,results_approver,permission,,,restricted,Implement actor rule for results_approver: creates.,Verify actor rule for results_approver: creates.,Yes
02 Actors,actors,02.049,What must actor results_approver never do?,must not approve unreviewed imports,negative_requirement,MVP,results_approver,permission,,,restricted,Implement actor rule for results_approver: never.,Verify actor rule for results_approver: never.,Yes
02 Actors,actors,02.050,What is actor school_coordinator display name?,School Coordinator,actor_definition,MVP,school_coordinator,actor,,,internal,Implement actor rule for school_coordinator: name.,Verify actor rule for school_coordinator: name.,Yes
02 Actors,actors,02.051,What type is actor school_coordinator?,human_external,actor_definition,MVP,school_coordinator,actor,,,internal,Implement actor rule for school_coordinator: type.,Verify actor rule for school_coordinator: type.,Yes
02 Actors,actors,02.052,Does actor school_coordinator log in?,yes,auth_requirement,MVP,school_coordinator,user,,,restricted,Implement actor rule for school_coordinator: login.,Verify actor rule for school_coordinator: login.,Yes
02 Actors,actors,02.053,What dashboard does actor school_coordinator need?,yes,ux_requirement,MVP,school_coordinator,screen,,,internal,Implement actor rule for school_coordinator: dashboard.,Verify actor rule for school_coordinator: dashboard.,Yes
02 Actors,actors,02.054,What data scope applies to actor school_coordinator?,own school only,permission_scope,MVP,school_coordinator,permission,,,restricted,Implement actor rule for school_coordinator: scope.,Verify actor rule for school_coordinator: scope.,Yes
02 Actors,actors,02.055,What records can actor school_coordinator create?,"student uploads, slot requests, courier details",permission_scope,MVP,school_coordinator,permission,,,restricted,Implement actor rule for school_coordinator: creates.,Verify actor rule for school_coordinator: creates.,Yes
02 Actors,actors,02.056,What must actor school_coordinator never do?,must not access another school’s data,negative_requirement,MVP,school_coordinator,permission,,,restricted,Implement actor rule for school_coordinator: never.,Verify actor rule for school_coordinator: never.,Yes
02 Actors,actors,02.057,What is actor school_principal display name?,School Principal,actor_definition,MVP,school_principal,actor,,,internal,Implement actor rule for school_principal: name.,Verify actor rule for school_principal: name.,Yes
02 Actors,actors,02.058,What type is actor school_principal?,human_external,actor_definition,MVP,school_principal,actor,,,internal,Implement actor rule for school_principal: type.,Verify actor rule for school_principal: type.,Yes
02 Actors,actors,02.059,Does actor school_principal log in?,optional,auth_requirement,MVP,school_principal,user,,,internal,Implement actor rule for school_principal: login.,Verify actor rule for school_principal: login.,Yes
02 Actors,actors,02.060,What dashboard does actor school_principal need?,no for MVP,ux_requirement,MVP,school_principal,screen,,,internal,Implement actor rule for school_principal: dashboard.,Verify actor rule for school_principal: dashboard.,Yes
02 Actors,actors,02.061,What data scope applies to actor school_principal?,own school approvals/declarations,permission_scope,MVP,school_principal,permission,,,restricted,Implement actor rule for school_principal: scope.,Verify actor rule for school_principal: scope.,Yes
02 Actors,actors,02.062,What records can actor school_principal create?,approval declarations if enabled,permission_scope,MVP,school_principal,permission,,,restricted,Implement actor rule for school_principal: creates.,Verify actor rule for school_principal: creates.,Yes
02 Actors,actors,02.063,What must actor school_principal never do?,must not manage platform-wide records,negative_requirement,MVP,school_principal,permission,,,restricted,Implement actor rule for school_principal: never.,Verify actor rule for school_principal: never.,Yes
02 Actors,actors,02.064,What is actor student display name?,Student,actor_definition,MVP,student,actor,,,internal,Implement actor rule for student: name.,Verify actor rule for student: name.,Yes
02 Actors,actors,02.065,What type is actor student?,human_external,actor_definition,MVP,student,actor,,,internal,Implement actor rule for student: type.,Verify actor rule for student: type.,Yes
02 Actors,actors,02.066,Does actor student log in?,no in MVP,auth_requirement,MVP,student,user,,,internal,Implement actor rule for student: login.,Verify actor rule for student: login.,Yes
02 Actors,actors,02.067,What dashboard does actor student need?,no,ux_requirement,MVP,student,screen,,,internal,Implement actor rule for student: dashboard.,Verify actor rule for student: dashboard.,Yes
02 Actors,actors,02.068,What data scope applies to actor student?,participant record only,permission_scope,MVP,student,permission,,,restricted,Implement actor rule for student: scope.,Verify actor rule for student: scope.,Yes
02 Actors,actors,02.069,What records can actor student create?,none,permission_scope,MVP,student,permission,,,restricted,Implement actor rule for student: creates.,Verify actor rule for student: creates.,Yes
02 Actors,actors,02.070,What must actor student never do?,no portal access in MVP,negative_requirement,MVP,student,permission,,,restricted,Implement actor rule for student: never.,Verify actor rule for student: never.,Yes
02 Actors,actors,02.071,What is actor parent_guardian display name?,Parent/Guardian,actor_definition,MVP,parent_guardian,actor,,,internal,Implement actor rule for parent_guardian: name.,Verify actor rule for parent_guardian: name.,Yes
02 Actors,actors,02.072,What type is actor parent_guardian?,human_external,actor_definition,MVP,parent_guardian,actor,,,internal,Implement actor rule for parent_guardian: type.,Verify actor rule for parent_guardian: type.,Yes
02 Actors,actors,02.073,Does actor parent_guardian log in?,no in MVP,auth_requirement,MVP,parent_guardian,user,,,internal,Implement actor rule for parent_guardian: login.,Verify actor rule for parent_guardian: login.,Yes
02 Actors,actors,02.074,What dashboard does actor parent_guardian need?,no,ux_requirement,MVP,parent_guardian,screen,,,internal,Implement actor rule for parent_guardian: dashboard.,Verify actor rule for parent_guardian: dashboard.,Yes
02 Actors,actors,02.075,What data scope applies to actor parent_guardian?,consent through school declaration,permission_scope,MVP,parent_guardian,permission,,,restricted,Implement actor rule for parent_guardian: scope.,Verify actor rule for parent_guardian: scope.,Yes
02 Actors,actors,02.076,What records can actor parent_guardian create?,none in MVP,permission_scope,MVP,parent_guardian,permission,,,restricted,Implement actor rule for parent_guardian: creates.,Verify actor rule for parent_guardian: creates.,Yes
02 Actors,actors,02.077,What must actor parent_guardian never do?,no portal access in MVP,negative_requirement,MVP,parent_guardian,permission,,,restricted,Implement actor rule for parent_guardian: never.,Verify actor rule for parent_guardian: never.,Yes
02 Actors,actors,02.078,What is actor payment_provider display name?,Razorpay Payment Provider,actor_definition,MVP,payment_provider,actor,,,internal,Implement actor rule for payment_provider: name.,Verify actor rule for payment_provider: name.,Yes
02 Actors,actors,02.079,What type is actor payment_provider?,external_api,actor_definition,MVP,payment_provider,actor,,,internal,Implement actor rule for payment_provider: type.,Verify actor rule for payment_provider: type.,Yes
02 Actors,actors,02.080,Does actor payment_provider log in?,no,auth_requirement,MVP,payment_provider,user,,,internal,Implement actor rule for payment_provider: login.,Verify actor rule for payment_provider: login.,Yes
02 Actors,actors,02.081,What dashboard does actor payment_provider need?,external,ux_requirement,MVP,payment_provider,screen,,,internal,Implement actor rule for payment_provider: dashboard.,Verify actor rule for payment_provider: dashboard.,Yes
02 Actors,actors,02.082,What data scope applies to actor payment_provider?,payment links and webhooks,permission_scope,MVP,payment_provider,permission,,,restricted,Implement actor rule for payment_provider: scope.,Verify actor rule for payment_provider: scope.,Yes
02 Actors,actors,02.083,What records can actor payment_provider create?,payment events,permission_scope,MVP,payment_provider,permission,,,restricted,Implement actor rule for payment_provider: creates.,Verify actor rule for payment_provider: creates.,Yes
02 Actors,actors,02.084,What must actor payment_provider never do?,must not be trusted without webhook signature verification,negative_requirement,MVP,payment_provider,permission,,,restricted,Implement actor rule for payment_provider: never.,Verify actor rule for payment_provider: never.,Yes
