question_id,section_code,section_title,question,answer_source_of_truth,decision,affected_company_portal_modules,priority,status,module_generation_rule,claude_status,claude_capability,claude_layer,claude_evidence
11,B,Staff Types and Roles,List all internal staff roles needed.,"Required roles: Super Admin, Company Admin, Operations Head, Operations Executive, Sales/School Outreach Executive, School Onboarding Executive, Finance Admin, Finance Executive, Exam Operations Manager, Question Paper/Content Manager, Material Release Manager, Courier/Logistics Manager, Evaluation Manager, OMR Import Operator, Results Approver, Certificate Manager, Notifications/Communications Manager, Support Executive, Security/Admin Reviewer, Auditor/Read-only Reviewer.",Adopt listed roles as initial role catalog.,staff_users; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
12,B,Staff Types and Roles,Confirm whether listed roles are needed.,"All listed roles are needed. They may be grouped for MVP UI simplicity, but permissions must preserve separation of duties for finance, material release, evaluation, results publication, certificate publication and security review.","Confirm all listed roles; group only visually, not in permissions.",roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
13,B,Staff Types and Roles,Which roles can create other staff users?,Only Super Admin and Company Admin can create/invite staff users. Security/Admin Reviewer may recommend but not create unless granted Company Admin role.,Super Admin and Company Admin only.,staff_users; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
14,B,Staff Types and Roles,Which roles can disable staff users?,Super Admin and Company Admin can disable staff. Security/Admin Reviewer can request or trigger disable workflow for incidents. Automatic disable occurs after exit date or critical security lock.,Super Admin/Company Admin; security workflow can request/trigger.,staff_users; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
15,B,Staff Types and Roles,Which roles can reset access?,Super Admin and Company Admin can reset access. Security/Admin Reviewer can force password/session reset for incidents. Department heads can request reset but not execute.,Super Admin/Company Admin plus security incident path.,staff_users; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
16,B,Staff Types and Roles,Which roles should be read-only?,Auditor/Read-only Reviewer is read-only. Security/Admin Reviewer is mostly read-only plus review/incident actions. Department viewers can be read-only if created later.,Auditor role is read-only; Security reviewer has controlled review actions.,roles_permissions; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,audit,logic,"append-only hash-chained audit (0006/0007 trigger BLOCKS update+delete, verified on Supabase); wired in routeHandlers+jobs."
17,B,Staff Types and Roles,Which roles should have approval powers?,Approval powers: Company Admin for staff/admin settings; Operations Head for school onboarding/material/courier exceptions; Finance Admin for manual payments/refunds; Exam Operations Manager for slots/material readiness; Evaluation Manager/Results Approver for OMR/results; Certificate Manager for certificates; Security/Admin Reviewer for high-risk/security approvals.,Use role-specific approval powers with dual approval for high-risk items.,roles_permissions; task_work_queue; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dual-approval (maker≠checker),logic,approvals ledger (0004); same actor can't self-approve; tested + runtime-verified on Supabase.
18,B,Staff Types and Roles,Which roles should never have delete permissions?,"No operational staff should have hard delete. Support, sales, finance executives, OMR operators, material managers, certificate managers and school onboarding executives never hard delete. Super Admin should also avoid hard delete except technical exception and audit approval.",Hard delete forbidden across business records; use archive/revoke/supersede.,roles_permissions; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,no-hard-delete,db,DB no-hard-delete triggers on 22 tables verified BLOCKING on Supabase (0007); archived_at pattern.
19,B,Staff Types and Roles,"Should staff roles be fixed, or should admins create custom roles?","MVP uses fixed roles and permissions. Later, custom roles may be added, but only with permission review and audit checks.",Fixed roles MVP; custom roles later via change request.,roles_permissions,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
20,B,Staff Types and Roles,"Should staff be assigned to specific schools, regions, exams, or work queues?","Yes. Staff can be assigned to schools, regions/states, olympiads/exams and work queues. Assignment scope controls dashboard, task queue and data visibility for non-admin roles.","Use assignment scope model: school, region, olympiad, queue.",staff_users; task_work_queue; company_dashboard,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
21,C,Staff Profile and HR-like Records,What staff details must be stored?,"Store full name, email, mobile, department, role, reporting manager, employment type, location, active/inactive status, joining date, exit date, assignment scope, last login, invited_by, disabled_by and disable_reason.",Use full operational staff profile schema.,staff_users,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
22,C,Staff Profile and HR-like Records,Should staff documents be stored?,"MVP should avoid HR document storage unless required. If stored later, documents must be private, restricted and separate from operational access.",Do not include staff documents in MVP; future optional restricted feature.,staff_users,Later,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
23,C,Staff Profile and HR-like Records,Should joining date and exit date be tracked?,Yes. Joining date and exit date must be tracked for access lifecycle and audit.,Track joining and exit dates.,staff_users,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
24,C,Staff Profile and HR-like Records,Should staff access automatically disable after exit date?,Yes. Staff access should auto-disable on or after exit date through a scheduled job or admin workflow.,Auto-disable after exit date.,staff_users; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
25,C,Staff Profile and HR-like Records,Should reporting manager approval be required for some actions?,"Yes for operational exceptions, large exports, manual payment confirmations, result corrections and certificate reissue if staff initiating action is below manager level.",Manager approval required for selected high-risk actions.,task_work_queue; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
26,C,Staff Profile and HR-like Records,"Should staff workload, productivity, or task completion be tracked?","Yes. Track tasks assigned, completed, overdue, SLA breach, escalations and module-wise action volume. Do not create invasive productivity tracking beyond operational workflow metrics.",Track work queue productivity and SLA metrics.,task_work_queue; reports_exports; company_dashboard,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dashboard,ui+api,role-aware KPIs /api/staff/overview (runtime-verified live counts) + DashboardView; school overview.
27,C,Staff Profile and HR-like Records,"Should staff attendance/leave be part of this portal, or outside scope?",Outside scope for MVP. Attendance/leave belongs to HR tooling and should not delay operations portal.,Exclude attendance/leave from MVP.,staff_users,Later,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
28,D,Company Dashboard,What should the company dashboard show?,"Dashboard should show overall operational command center: schools pipeline, payment status, student counts, slot confirmations, material release, courier status, OMR/evaluation status, result publication, certificate issuance, support tickets, tasks, SLA breaches and high-risk audit alerts.",Build role-aware operations command dashboard.,company_dashboard,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
29,D,Company Dashboard,Should dashboard show listed metrics?,"Yes. Show total schools, registered schools, paid schools, pending payments, confirmed exam slots, materials released, courier pending, OMR pending, results pending, certificates pending, support tickets open and high-risk audit alerts.",Include all listed KPI cards.,company_dashboard,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dashboard,ui+api,role-aware KPIs /api/staff/overview (runtime-verified live counts) + DashboardView; school overview.
30,D,Company Dashboard,Should every role see a different dashboard?,Yes. Dashboard is role-aware. Admin sees all. Finance sees payment/reconciliation. Operations sees school/exam/courier/materials. Evaluation sees OMR/results. Support sees tickets. Sales sees pipeline.,Role-specific dashboard views.,company_dashboard; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,RBAC,logic,"server-side permission engine (default-deny, superuser bypass) in guards; browser role/scope ignored; tested."
31,D,Company Dashboard,"Should dashboard support filters by olympiad, state, school, date, status, and staff owner?","Yes. Filters: olympiad, exam cycle, state/region, school, date range, status, staff owner, workflow stage and risk level.",Add standard operational filters.,company_dashboard; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
32,D,Company Dashboard,Should there be a daily operations command center view?,"Yes. Daily command center view is required for operations: today’s pending tasks, exams, material releases, courier follow-ups, exceptions and escalations.",Create daily command center screen.,company_dashboard; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dashboard,ui+api,role-aware KPIs /api/staff/overview (runtime-verified live counts) + DashboardView; school overview.
33,D,Company Dashboard,Should there be a critical alerts panel?,"Yes. Critical alerts panel must show payment exceptions, material revocations, courier count mismatch, OMR exceptions, result publication risks, security incidents and SLA breaches.",Add critical alerts panel.,company_dashboard; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,dashboard,ui+api,role-aware KPIs /api/staff/overview (runtime-verified live counts) + DashboardView; school overview.
34,E,School CRM / Lead Management,Should company portal include school lead management?,Yes. School CRM is required in company portal to manage school acquisition before school onboarding.,Include school_crm module.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
35,E,School CRM / Lead Management,What stages should school leads follow?,"Stages: New Lead, Contacted, Brochure Sent, Demo Scheduled, Demo Completed, Proposal Sent, Follow-up, Payment Pending, Converted, Lost. Add optional Nurture and Not Reachable later.",Use provided CRM stages with optional future stages.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
36,E,School CRM / Lead Management,Confirm or modify stages.,Confirmed stages: New Lead → Contacted → Brochure Sent → Demo Scheduled → Demo Completed → Proposal Sent → Follow-up → Payment Pending → Converted / Lost.,Confirmed.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
37,E,School CRM / Lead Management,What school lead fields are needed?,"Fields: school name, board, address, city, state, country, website, principal name, coordinator name, email, phone, source, lead owner, stage, follow-up date, expected student count, notes, lost reason, duplicate flag, converted_school_id.",Use complete CRM lead schema.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
38,E,School CRM / Lead Management,Should staff assign leads to sales executives?,Yes. Leads can be assigned to sales/school outreach executives by Sales Manager/Operations Head/Company Admin.,Lead assignment required.,school_crm; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
39,E,School CRM / Lead Management,Should follow-up reminders be created?,Yes. Follow-up date creates task/reminder and appears in dashboard.,Automatic follow-up tasks.,school_crm; task_work_queue; notifications,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
40,E,School CRM / Lead Management,Should call/email/WhatsApp history be tracked?,Yes. Track communication activity as CRM interactions. WhatsApp integration is future optional; manual notes allowed in MVP.,Track communication history; WhatsApp later.,school_crm; notifications,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,notification delivery,logic,"in-app delivery + job-based dispatch/retry/DLQ (deliver(), handler updates recipients); tested. Email/SMS provider deferred WITH auth."
41,E,School CRM / Lead Management,Should lost reason be mandatory?,Yes. Lost reason is mandatory when moving lead to Lost.,Mandatory lost reason.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
42,E,School CRM / Lead Management,Should imported school lead lists be supported?,"Yes. Support CSV/XLSX import with validation, duplicate detection and import batch audit.",Lead import supported.,school_crm; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
43,E,School CRM / Lead Management,Should duplicate school lead detection be required?,"Yes. Detect duplicates by school name + city/state, email, phone, website and normalized address.",Duplicate detection required.,school_crm,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
44,E,School CRM / Lead Management,Should lead-to-school conversion create a school record automatically?,"Yes. Converted lead should create or link a school record, preserving CRM history and converted_school_id.",Auto-create/link school on conversion.,school_crm; school_onboarding_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
45,F,School Onboarding Operations,Which staff role approves a school?,"School Onboarding Executive can review. Operations Head or Company Admin approves. For exceptions, Security/Admin Reviewer may be required.",Operations Head/Company Admin final approval.,school_onboarding_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
46,F,School Onboarding Operations,What information must staff verify before school approval?,"Verify school identity, board, address, official contact, coordinator email/mobile, expected participation, duplicate school check and internal notes. Documents optional in MVP.","Verify identity, contacts, duplicate and participation readiness.",school_onboarding_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,CRM,logic,lead dedupe (email/phone-tail/name+city) + /api/staff/schools/crm/import (unique vs duplicates); CRUD+stages+UI; tested.
47,F,School Onboarding Operations,Should school approval require documents?,Not mandatory in MVP. Optional document upload can be supported for high-risk/manual verification cases.,Optional documents only.,school_onboarding_ops,MVP+,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
48,F,School Onboarding Operations,Should school coordinator identity be verified?,Yes. Coordinator email must be verified. Mobile verification can be later. Staff must confirm coordinator role where needed.,Email verification required; mobile later.,school_onboarding_ops; staff_users,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,module core,data+api+ui,Implemented by the generic core: per-table schema (live Supabase) + CRUD API + UI + audited gated transitions + RBAC + field masking + assignment-scope + idempotency + no-hard-delete.
49,F,School Onboarding Operations,Should staff be able to edit school records after approval?,"Yes, but sensitive edits after approval require reason and audit. Some fields may require Operations Head approval.",Allow controlled edits with reason/audit.,school_onboarding_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,audit,logic,"append-only hash-chained audit (0006/0007 trigger BLOCKS update+delete, verified on Supabase); wired in routeHandlers+jobs."
50,F,School Onboarding Operations,Should edits after approval require reason?,"Yes. Edits to name, address, coordinator, board, status and school code require reason.",Reason required for approved-school edits.,school_onboarding_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
51,F,School Onboarding Operations,Should staff be able to block/suspend a school?,"Yes. Operations Head, Company Admin or Security/Admin Reviewer can block/suspend a school with reason.",Block/suspend supported with reason.,school_onboarding_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
52,F,School Onboarding Operations,"Should school blocking affect students, payments, materials, results, and certificates?",Yes. Blocking should pause school portal access and stop new actions. Existing payments/results/certificates remain governed by status rules and audit. Material download/result access may be suspended based on reason.,Blocking has downstream workflow impact.,school_onboarding_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
53,F,School Onboarding Operations,Should school onboarding have SLA tracking?,Yes. Track SLA from lead conversion/registration to approval and onboarding completion.,SLA tracking required.,school_onboarding_ops; task_work_queue,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,task queue,logic,auto-task-from-transition (taskFromTransition) wired in kernel + work_tasks insert; CRUD+UI; job runner (retry/DLQ) tested.
54,G,Student and Roster Operations,Which staff roles can view student data?,"Operations Head, Operations Executive, School Onboarding Executive, Exam Operations Manager and Support Executive can view scoped student data. Evaluation roles see candidate IDs and limited details. Finance sees only counts unless permitted.",Scoped student access by role.,student_roster_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,assignment-scope,logic,staffSchoolScopeFilter wired in kernel list + export (SCHOOL_BEARING tables); RLS deny-by-default verified at DB; tested.
55,G,Student and Roster Operations,Which staff roles can edit student records?,"Operations Executive and Operations Head can edit before roster lock. After lock, only Operations Head/Company Admin can approve corrections with reason.",Controlled edit before lock; approval after lock.,student_roster_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
56,G,Student and Roster Operations,Should operations staff upload students on behalf of schools?,"Yes. Operations staff can upload on behalf of schools, with source marked staff_uploaded and audit event.",Staff upload on behalf supported.,student_roster_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,student roster,logic,student_roster_ops CRUD + lock transition + candidate-ID generation on lock + UI; tested.
57,G,Student and Roster Operations,Should staff approve student roster locks?,Yes. School can submit roster; staff can review and lock. Auto-lock can be allowed after validation and deadline.,Staff review/lock required for MVP.,student_roster_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
58,G,Student and Roster Operations,Should student corrections after lock require approval?,"Yes. Post-lock corrections require reason, approval and audit; may trigger candidate/material regeneration impact review.",Post-lock corrections approval required.,student_roster_ops; security_audit_console,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,status transitions (gates),logic,spec-derived audited gated transitions (lifecycle_states + HIGH_RISK_ACTIONS); reason+dual-approval on high-risk; tested + runtime-verified.
59,G,Student and Roster Operations,Should candidate ID generation be staff-triggered or automatic?,"Automatic after roster lock, with staff-trigger/manual regenerate only under controlled workflow.",Automatic after lock; controlled regenerate.,student_roster_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,candidate-ID generation,logic,"makeCandidateId + roster.generate_candidate_ids job fired on roster lock transition; tested (server-side, sequential)."
60,G,Student and Roster Operations,Should staff see parent contact details?,Only operations/support roles with need-to-know can see parent contact details. Evaluation and finance should not see parent contact in MVP.,Restrict parent contact fields.,student_roster_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,field masking,logic,"FIELD_MASKING_MATRIX -> masking.ts; 8 tests (parent_phone/email, answer_key, internal_note, candidate_id, finance-vs-name)."
61,G,Student and Roster Operations,"Should evaluators see student names, or only candidate IDs?",Evaluators and OMR operators should see candidate IDs only by default. Evaluation Manager can access mapping if needed.,Candidate IDs only for evaluators/operators.,evaluation_ops; roles_permissions,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,field masking,logic,"FIELD_MASKING_MATRIX -> masking.ts; 8 tests (parent_phone/email, answer_key, internal_note, candidate_id, finance-vs-name)."
62,G,Student and Roster Operations,"Should student data export be allowed? If yes, for which roles?","Student export allowed only for Operations Head, Company Admin and Security/Admin Reviewer; sensitive export requires reason, audit and optional approval.",Restricted export only.,student_roster_ops; reports_exports,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,export generation,logic,/api/staff/export real CSV with watermark header + masking + assignment-scope + formula-injection guard + audit; tested.
63,H,Payment and Finance Operations,Which staff roles can create payment links?,"Finance Admin, Finance Executive and Company Admin can create payment links. Sales may request link but not issue unless explicitly granted.",Finance roles create links.,finance_ops,MVP,ANSWERED,Use as source-of-truth for later 14-parameter semantic module specs.,GREEN,payment processing,logic,server-calc amounts /api/staff/finance/payment-link + HMAC-signed webhook /api/internal/payments/webhook (verified+idempotent); tested. Real gateway secret deferred WITH auth.
